name                              | abbrev | utc_offset | is_dst
 Asia/Ashkhabad                   | +05    | 05:00:00   | f
 Asia/Saigon                      | +07    | 07:00:00   | f
 Asia/Sakhalin                    | +11    | 11:00:00   | f
 Asia/Hong_Kong                   | HKT    | 08:00:00   | f
 Asia/Phnom_Penh                  | +07    | 07:00:00   | f
 Asia/Nicosia                     | EET    | 02:00:00   | f
 Asia/Baghdad                     | +03    | 03:00:00   | f
 Asia/Srednekolymsk               | +11    | 11:00:00   | f
 Asia/Ashgabat                    | +05    | 05:00:00   | f
 Asia/Kathmandu                   | +0545  | 05:45:00   | f
 Asia/Choibalsan                  | +08    | 08:00:00   | f
 Asia/Bangkok                     | +07    | 07:00:00   | f
 Asia/Chungking                   | CST    | 08:00:00   | f
 Asia/Novosibirsk                 | +07    | 07:00:00   | f
 Asia/Famagusta                   | EET    | 02:00:00   | f
 Asia/Rangoon                     | +0630  | 06:30:00   | f
 Asia/Ho_Chi_Minh                 | +07    | 07:00:00   | f
 MET                              | MET    | 01:00:00   | f
 Portugal                         | WET    | 00:00:00   | f
 Antarctica/Palmer                | -03    | -03:00:00  | f
 Antarctica/Davis                 | +07    | 07:00:00   | f
 Antarctica/Rothera               | -03    | -03:00:00  | f
 Antarctica/Vostok                | +06    | 06:00:00   | f
 Antarctica/Syowa                 | +03    | 03:00:00   | f
 Antarctica/DumontDUrville        | +10    | 10:00:00   | f
 Antarctica/McMurdo               | NZDT   | 13:00:00   | t
 Antarctica/Macquarie             | +11    | 11:00:00   | f
 Antarctica/South_Pole            | NZDT   | 13:00:00   | t
 Antarctica/Troll                 | +00    | 00:00:00   | f
 Antarctica/Mawson                | +05    | 05:00:00   | f
 Antarctica/Casey                 | +08    | 08:00:00   | f
 GMT-0                            | GMT    | 00:00:00   | f
 CET                              | CET    | 01:00:00   | f
 Eire                             | GMT    | 00:00:00   | t
 PST8PDT                          | PDT    | -07:00:00  | t
 Jamaica                          | EST    | -05:00:00  | f
 GMT                              | GMT    | 00:00:00   | f
 Zulu                             | UTC    | 00:00:00   | f
 Japan                            | JST    | 09:00:00   | f
 ROC                              | CST    | 08:00:00   | f
 GB-Eire                          | GMT    | 00:00:00   | f
 Europe/Zurich                    | CET    | 01:00:00   | f
 Europe/Paris                     | CET    | 01:00:00   | f
 Europe/Moscow                    | MSK    | 03:00:00   | f
 Europe/Luxembourg                | CET    | 01:00:00   | f
 Europe/Ljubljana                 | CET    | 01:00:00   | f
 Europe/Helsinki                  | EET    | 02:00:00   | f
 Europe/Minsk                     | +03    | 03:00:00   | f
 Europe/Skopje                    | CET    | 01:00:00   | f
 Europe/Dublin                    | GMT    | 00:00:00   | t
 Europe/Jersey                    | GMT    | 00:00:00   | f
 Europe/San_Marino                | CET    | 01:00:00   | f
 Europe/Gibraltar                 | CET    | 01:00:00   | f
 Europe/Belgrade                  | CET    | 01:00:00   | f
 Europe/Guernsey                  | GMT    | 00:00:00   | f
 Europe/Ulyanovsk                 | +04    | 04:00:00   | f
 Europe/Saratov                   | +04    | 04:00:00   | f
 Europe/Vaduz                     | CET    | 01:00:00   | f
 Europe/Istanbul                  | +03    | 03:00:00   | f
 Europe/Lisbon                    | WET    | 00:00:00   | f
 Europe/Uzhgorod                  | EET    | 02:00:00   | f
 Europe/Kirov                     | +03    | 03:00:00   | f
 Europe/Tirane                    | CET    | 01:00:00   | f
 Europe/Tiraspol                  | EET    | 02:00:00   | f
 Europe/Sarajevo                  | CET    | 01:00:00   | f
 Europe/Madrid                    | CET    | 01:00:00   | f
 Europe/Podgorica                 | CET    | 01:00:00   | f
 Europe/Busingen                  | CET    | 01:00:00   | f
 Europe/Vatican                   | CET    | 01:00:00   | f
 Europe/Belfast                   | GMT    | 00:00:00   | f
 Europe/Bratislava                | CET    | 01:00:00   | f
 Europe/Kiev                      | EET    | 02:00:00   | f
 Europe/Kaliningrad               | EET    | 02:00:00   | f
 Europe/Zaporozhye                | EET    | 02:00:00   | f
 Europe/Vienna                    | CET    | 01:00:00   | f
 Europe/Budapest                  | CET    | 01:00:00   | f
 Europe/Vilnius                   | EET    | 02:00:00   | f
 Europe/Monaco                    | CET    | 01:00:00   | f
 Europe/Oslo                      | CET    | 01:00:00   | f
 Europe/Astrakhan                 | +04    | 04:00:00   | f
 Europe/Simferopol                | MSK    | 03:00:00   | f
 Europe/Volgograd                 | +04    | 04:00:00   | f
 Europe/Isle_of_Man               | GMT    | 00:00:00   | f
 Europe/London                    | GMT    | 00:00:00   | f
 Europe/Riga                      | EET    | 02:00:00   | f
 Europe/Andorra                   | CET    | 01:00:00   | f
 Europe/Prague                    | CET    | 01:00:00   | f
 Europe/Berlin                    | CET    | 01:00:00   | f
 Europe/Tallinn                   | EET    | 02:00:00   | f
 Europe/Rome                      | CET    | 01:00:00   | f
 Europe/Malta                     | CET    | 01:00:00   | f
 Europe/Zagreb                    | CET    | 01:00:00   | f
 Europe/Amsterdam                 | CET    | 01:00:00   | f
 Europe/Nicosia                   | EET    | 02:00:00   | f
 Europe/Bucharest                 | EET    | 02:00:00   | f
 Europe/Copenhagen                | CET    | 01:00:00   | f
 Europe/Chisinau                  | EET    | 02:00:00   | f
 Europe/Mariehamn                 | EET    | 02:00:00   | f
 Europe/Sofia                     | EET    | 02:00:00   | f
 Europe/Athens                    | EET    | 02:00:00   | f
 Europe/Stockholm                 | CET    | 01:00:00   | f
 Europe/Samara                    | +04    | 04:00:00   | f
 Europe/Brussels                  | CET    | 01:00:00   | f
 Europe/Warsaw                    | CET    | 01:00:00   | f
 ROK                              | KST    | 09:00:00   | f
 Navajo                           | MDT    | -06:00:00  | t
 Singapore                        | +08    | 08:00:00   | f
 posixrules                       | EDT    | -04:00:00  | t
 GB                               | GMT    | 00:00:00   | f
 Mexico/BajaNorte                 | PDT    | -07:00:00  | t
 Mexico/General                   | CST    | -06:00:00  | f
 Mexico/BajaSur                   | MST    | -07:00:00  | f
 EST                              | EST    | -05:00:00  | f
 GMT0                             | GMT    | 00:00:00   | f
 Hongkong                         | HKT    | 08:00:00   | f
 PRC                              | CST    | 08:00:00   | f
 Iran                             | +0430  | 04:30:00   | t
 MST7MDT                          | MDT    | -06:00:00  | t
 WET                              | WET    | 00:00:00   | f
 W-SU                             | MSK    | 03:00:00   | f
 UCT                              | UTC    | 00:00:00   | f
 Cuba                             | CDT    | -04:00:00  | t
 Egypt                            | EET    | 02:00:00   | f
 GMT+0                            | GMT    | 00:00:00   | f
 EET                              | EET    | 02:00:00   | f
